"text","label"
"Зорлық-зомбылыққа шақырулар демократияға қайшы келеді.","Политический экстремизм"
"Противодействие экстремизму требует комплексного подхода.","Политический экстремизм"
"Ұлтаралық алауыздықты қоздыру – саяси экстремизмнің бір түрі.","Политический экстремизм"
"Необходимо отличать оппозиционную деятельность от экстремизма.","Политический экстремизм"
"Әлеуметтік желілерде экстремистік контентті бұғаттау керек.","Политический экстремизм"
"Публичное оправдание терроризма приравнивается к экстремизму.","Политический экстремизм"
"Саяси тұрақсыздық экстремизмнің өршуіне әкелуі мүмкін.","Политический экстремизм"
"Организация массовых беспорядков преследуется по закону.","Политический экстремизм"
"Экстремистер өз мақсаттарына жету үшін кез келген әдісті қолданады.","Политический экстремизм"
"Заблокирован сайт, пропагандировавший идеи политического экстремизма.","Политический экстремизм"
"Билікке қарсы күш қолдануға үндеу – бұл қылмыс.","Политический экстремизм"
"Экстремизм разрушает основы правового государства.","Политический экстремизм"
"Мұндай әрекеттер қоғамдық тәртіпті бұзады.","Политический экстремизм"
"Призывы к дискриминации по политическому признаку недопустимы.","Политический экстремизм"
"Саяси экстремизмнің алдын алу – маңызды міндет.","Политический экстремизм"
"Распространение ложной информации с целью дестабилизации – это тоже экстремизм.","Политический экстремизм"
"Экстремистік топтардың қаржыландыру көздері анықталуда.","Политический экстремизм"
"Они пытаются навязать свою идеологию силой.","Политический экстремизм"
"Жастарды радикалды идеялардан қорғау қажет.","Политический экстремизм"
"Борьба с экстремистской пропагандой в интернете усилена.","Политический экстремизм"
"Бұл ұйымның қызметіне сотпен тыйым салынған.","Политический экстремизм"
"Политические убийства – крайняя форма экстремизма.","Политический экстремизм"
"Олардың риторикасы өшпенділікке толы.","Политический экстремизм"
"Экстремизм подрывает доверие к политическим институтам.","Политический экстремизм"
"Қарулы көтеріліске шақырулар қатаң жазаланады.","Политический экстремизм"
"В школах проводят беседы о вреде экстремизма.","Политический экстремизм"
"Саяси мотивпен жасалған зорлық-зомбылық ақталмайды.","Политический экстремизм"
"Создание незаконных вооруженных формирований – признак экстремизма.","Политический экстремизм"
"Экстремистік әдебиеттерді сақтауға және таратуға болмайды.","Политический экстремизм"
"Манипулирование общественным мнением в экстремистских целях.","Политический экстремизм"
"Бұл топтардың әрекеті мемлекеттің тұтастығына қауіп төндіреді.","Политический экстремизм"
"Интернет-провайдеров обязали блокировать экстремистские сайты.","Политический экстремизм"
"Саяси оппоненттерге қатысты жеккөрушілік тілі қолданылды.","Политический экстремизм"
"Экстремизм не имеет национальности и религии.","Политический экстремизм"
"Радикалды ағымдардың ықпалына түсіп қалмау маңызды.","Политический экстремизм"
"Осужден за публичные призывы к экстремистской деятельности.","Политический экстремизм"
"Зорлық-зомбылыққа негізделген идеологияны насихаттауға тыйым салынады.","Политический экстремизм"
"Профилактика политического экстремизма среди молодежи.","Политический экстремизм"
"Конституциялық құрылысты күштеп өзгертуге тырысу – ауыр қылмыс.","Политический экстремизм"
"Экстремистские группы часто маскируются под общественные организации.","Политический экстремизм"
"Саяси экстремизммен күресте халықаралық ынтымақтастық қажет.","Политический экстремизм"
"Отрицание демократических принципов – черта экстремизма.","Политический экстремизм"
"Әлеуметтік желілер экстремистік идеяларды тарату алаңына айналды.","Политический экстремизм"
"Закон обязывает СМИ не допускать экстремистских высказываний.","Политический экстремизм"
"Экстремизмге қарсы іс-қимыл туралы заң қабылданды.","Политический экстремизм"
"Вербовщики активно работают в уязвимых социальных группах.","Политический экстремизм"
"Мұндай топтардың мақсаты – хаос орнату.","Политический экстремизм"
"Нетерпимость к инакомыслию может привести к насилию.","Политический экстремизм"
"Саяси экстремизмнің тамыры тереңде жатыр.","Политический экстремизм"
"Пособничество экстремистам также является преступлением.","Политический экстремизм"
"Желідегі радикалды контенттің таралуын шектеу керек.","Политический экстремизм"
"Возбуждено уголовное дело по факту разжигания вражды.","Политический экстремизм"
"Экстремистік топтардың басшылары жауапқа тартылды.","Политический экстремизм"
"Политический экстремизм угрожает стабильности общества.","Политический экстремизм"
"Күш қолдану арқылы режимді ауыстыруға шақыру – бұл экстремизм.","Политический экстремизм"
"Необходим мониторинг для выявления экстремистских угроз.","Политический экстремизм"
"Саяси бәсекелестерді жоюға үндеу – қылмыс.","Политический экстремизм"
"Символика экстремистских организаций запрещена к демонстрации.","Политический экстремизм"
"Экстремистік идеологияға қарсы иммунитетті қалыптастыру қажет.","Политический экстремизм"
"Радикализация молодежи – серьезная проблема.","Политический экстремизм"
"Олар саяси мақсаттарға жету үшін терроризмді қолданады.","Политический экстремизм"
"Власти усиливают контроль над распространением оружия.","Политический экстремизм"
"Қоғамды экстремизм қаупі туралы хабардар ету маңызды.","Политический экстремизм"
"Ответственность за экстремистскую деятельность неотвратима.","Политический экстремизм"
"Саяси экстремизммен күрес үздіксіз жүргізілуі тиіс.","Политический экстремизм"
"Любые призывы к насилию по политическим мотивам опасны.","Политический экстремизм"
"Экстремистік сайттар бұғатталды.","Политический экстремизм"
"Идеи расового превосходства – основа многих экстремистских движений.","Политический экстремизм"
"Заңсыз жиналыстарда экстремистік ұрандар айтылды.","Политический экстремизм"
"Противодействие финансированию экстремизма – приоритет спецслужб.","Политический экстремизм"
"Мемлекеттік төңкеріс жасауға шақырулар анықталды.","Политический экстремизм"
"Экстремизм часто использует социальные проблемы для вербовки.","Политический экстремизм"
"Радикалды топтардың жетекшілері шетелден басқарылуы мүмкін.","Политический экстремизм"
"Публичное отрицание преступлений нацизма – это тоже форма экстремизма.","Политический экстремизм"
"Саяси экстремизмнің алдын алуда білім берудің рөлі зор.","Политический экстремизм"
"Они используют hate speech для мобилизации сторонников.","Политический экстремизм"
"Қарулы қақтығыстарды ақтауға болмайды.","Политический экстремизм"
"Борьба с онлайн-экстремизмом требует новых технологий.","Политический экстремизм"
"Экстремистік ұйым деп танылған топтың мүлкі тәркіленді.","Политический экстремизм"
"Политический экстремизм – это угроза демократии.","Политический экстремизм"
"Зорлық-зомбылықты насихаттайтын материалдар жойылуы тиіс.","Политический экстремизм"
"Деструктивные культы могут быть связаны с экстремизмом.","Политический экстремизм"
"Саяси көзқарастардағы шектен шығушылық қауіпті.","Политический экстремизм"
"СМИ не должны становиться площадкой для экстремистов.","Политический экстремизм"
"Экстремистік әрекеттерге қатысқандар заң алдында жауап береді.","Политический экстремизм"
"Ненависть к власти не должна перерастать в призывы к насилию.","Политический экстремизм"
"Радикализация происходит постепенно, важно заметить первые признаки.","Политический экстремизм"
"Олардың үндеулері әлеуметтік жеккөрушілікті қоздырады.","Политический экстремизм"
"Предотвращение терактов – главная цель борьбы с экстремизмом.","Политический экстремизм"
"Саяси экстремизмнің салдары өте ауыр болуы мүмкін.","Политический экстремизм"
"Экстремистские группы пытаются проникнуть во властные структуры.","Политический экстремизм"
"Азаматтық соғысқа шақыру – ең ауыр қылмыстардың бірі.","Политический экстремизм"
"Осужден за создание экстремистского сообщества.","Политический экстремизм"
"Тыйым салынған идеологияны таратуға жол берілмейді.","Политический экстремизм"
"Важно воспитывать толерантность для профилактики экстремизма.","Политический экстремизм"
"Экстремизмге қарсы күрес – бүкіл қоғамның ісі.","Политический экстремизм"
"Их цель – дестабилизация политической обстановки в стране.","Политический экстремизм"
"Саяси ойыншылар экстремистік риторикадан аулақ болуы керек.","Политический экстремизм"
"Анализ онлайн-активности помогает выявлять экстремистов.","Политический экстремизм"
"Бұл топтар заңсыз әрекеттерге баруға дайын.","Политический экстремизм"
"Политический экстремизм несовместим с правовым государством.","Политический экстремизм"
"Радикалды көзқарастарды ерте кезеңде анықтау маңызды.","Политический экстремизм"
"Запрет на оправдание насильственных методов борьбы.","Политический экстремизм"
"Экстремистік ұйымдардың жақтастарын анықтау жұмыстары жүргізілуде.","Политический экстремизм"
"Разжигание вражды на основе политических убеждений недопустимо.","Политический экстремизм"
"Саяси экстремизммен күресу үшін заңнама жетілдірілуде.","Политический экстремизм"
"Использование детей в экстремистских акциях – особое преступление.","Политический экстремизм"
"Интернеттегі экстремизммен күресу қиын, бірақ қажет.","Политический экстремизм"
"Лидеры экстремистских групп часто харизматичны и опасны.","Политический экстремизм"
"Зорлық-зомбылыққа шақыратын контентті жою қажет.","Политический экстремизм"
"Они отрицают легитимность существующей власти.","Политический экстремизм"
"Экстремизммен байланысы бар шетелдіктер елден шығарылды.","Политический экстремизм"
"Политическая нестабильность – питательная среда для экстремизма.","Политический экстремизм"
"Олардың үгіт-насихаты жастардың радикалдануына ықпал етеді.","Политический экстремизм"
"Важно отличать критику власти от призывов к ее свержению.","Политический экстремизм"
"Саяси экстремизмге қарсы тұру үшін азаматтық қоғамды дамыту керек.","Политический экстремизм"
"Финансирование терроризма и экстремизма из-за рубежа.","Политический экстремизм"
"Күш қолдануды ақтайтын кез келген идеология қауіпті.","Политический экстремизм"
"Мониторинг соцсетей выявил ячейку экстремистов.","Политический экстремизм"
"Экстремизмге қарсы ақпараттық науқан жүргізілуде.","Политический экстремизм"
"Участие в деятельности экстремистской организации наказуемо.","Политический экстремизм"
"Саяси қарсыластарға физикалық күш көрсетуге шақырулар.","Политический экстремизм"
"Экстремизм подрывает международную безопасность.","Политический экстремизм"
"Мұндай топтардың әрекеті жасырын жүргізіледі.","Политический экстремизм"
"Профилактика экстремизма должна начинаться с семьи и школы.","Политический экстремизм"
"Радикалды идеологияның таралуына тосқауыл қою керек.","Политический экстремизм"
"Они готовы к насильственным действиям для достижения своих целей.","Политический экстремизм"
"Саяси экстремизмнің тарихы тереңде жатыр.","Политический экстремизм"
"Заблокированы счета лиц, подозреваемых в финансировании экстремизма.","Политический экстремизм"
"Конституцияға қарсы әрекеттерге жол берілмейді.","Политический экстремизм"
"Борьба с коррупцией может снизить привлекательность экстремизма.","Политический экстремизм"
"Экстремистік топтардың символдарына тыйым салынған.","Политический экстремизм"
"Политический экстремизм часто связан с организованной преступностью.","Политический экстремизм"
"Желідегі пікірталастарда өшпенділік тілі қолданылмауы тиіс.","Политический экстремизм"
"Призывы к геноциду – крайняя форма экстремизма.","Политический экстремизм"
"Саяси экстремизммен күрес – ұзақ мерзімді процесс.","Политический экстремизм"
"Они вербуют сторонников, обещая быстрое решение проблем.","Политический экстремизм"
"Экстремистік материалдарды репост жасау да қылмыс.","Политический экстремизм"
"Необходимо повышать медиаграмотность населения для борьбы с пропагандой.","Политический экстремизм"
"Зорлық-зомбылықпен билікке келу әрекеттерінің жолы кесілді.","Политический экстремизм"
"Экстремизм – это идеология нетерпимости и насилия.","Политический экстремизм"
"Саяси экстремизмге қарсы халықаралық конвенциялар бар.","Политический экстремизм"
"Распространение идей сепаратизма может быть признано экстремизмом.","Политический экстремизм"
"Жастар арасында радикалды көзқарастардың алдын алу маңызды.","Политический экстремизм"
"Спецслужбы ведут постоянную работу по выявлению экстремистских ячеек.","Политический экстремизм"
"Қоғамдық қауіпсіздікке қатер төндіретін әрекеттер тоқтатылды.","Политический экстремизм"
"Использование фейковых новостей для разжигания ненависти.","Политический экстремизм"
"Саяси экстремизммен күресте азаматтардың белсенділігі қажет.","Политический экстремизм"
"Они призывают к расправе над инакомыслящими.","Политический экстремизм"
"Экстремизмнің психологиялық аспектілерін зерттеу керек.","Политический экстремизм"
"Закон четко определяет, какие действия считаются экстремистскими.","Политический экстремизм"
"Радикалды топтардың қаржылық ағындарын бақылау күшейтілді.","Политический экстремизм"
"Политический экстремизм может принимать разные формы.","Политический экстремизм"
"Билікті күшпен құлатуға шақыру – мемлекетке қарсы қылмыс.","Политический экстремизм"
"Призывы идти на штурм административных зданий в столице.","Политический экстремизм"
"Ол өзінің видеосында қарулы көтеріліске шығуға үгіттегені үшін сотталды.","Политический экстремизм"
"В секретном чате обсуждали планы по силовому захвату региональной власти.","Политический экстремизм"
"Уақыт келді, бұл сатылған режимді құлату керек дейді олар ашықтан-ашық.","Политический экстремизм"
"Кровь врагов народа – вот их основной лозунг в агитматериалах.","Политический экстремизм"
"Саяси оппоненттерді физикалық тұрғыдан жоюға үндеулер желіде тарады.","Политический экстремизм"
"Распространение подробных инструкций по организации государственного переворота.","Политический экстремизм"
"Олардың жаңа манифесінде қарулы күрес жалғыз жол деп жарияланған.","Политический экстремизм"
"Подстрекательство к насильственным действиям против сотрудников правопорядка.","Политический экстремизм"
"Белгілі бір саяси топты сатқындар деп атап, оларға қарсы репрессияға шақыру.","Политический экстремизм"
"Разжигание ненависти к представителям власти через анонимные Telegram-каналы.","Политический экстремизм"
"Олардың агрессивті риторикасы қоғамды жікке бөлуге бағытталған.","Политический экстремизм"
"Использование уничижительных терминов типа либерасты или ватники для разжигания вражды.","Политический экстремизм"
"Арандатушылық мәлімдемелер арқылы этникалық негізде саяси жағдайды ушықтыру.","Политический экстремизм"
"Пропаганда тотальной нетерпимости к любым иным политическим взглядам, кроме своих.","Политический экстремизм"
"Комментарийлерде депутаттарға қарсы зорлық-зомбылыққа ашық шақырулар анықталды.","Политический экстремизм"
"Публикация списков врагов нации с домашними адресами и угрозами расправы.","Политический экстремизм"
"Бұл жасырын топтың идеологиясы толығымен жеккөрушілікке негізделген.","Политический экстремизм"
"Hate speech как основной инструмент мобилизации радикально настроенной молодежи.","Политический экстремизм"
"Таулы аймақта жасырын әскери дайындық лагерінің орны анықталды.","Политический экстремизм"
"Создание народных дружин с целью силового противостояния полиции во время митингов.","Политический экстремизм"
"Олар қала сыртындағы қоймада қару-жарақ арсеналын жасақтаған.","Политический экстремизм"
"Вербовка бывших участников боевых действий в незаконные парамилитарные формирования.","Политический экстремизм"
"Бұл топтың мүшелері қарулы қақтығысқа және партизандық соғысқа дайындалған.","Политический экстремизм"
"Задержание предполагаемого лидера незаконного вооруженного формирования Бостандық.","Политический экстремизм"
"Олардың түпкі жоспары – қарулы топтар арқылы билікке ультиматум қою.","Политический экстремизм"
"Training camps for urban guerrilla warfare tactics discovered near the border.","Политический экстремизм"
"Кез келген парамилитарлық құрылым мемлекет қауіпсіздігіне тікелей қатер төндіреді.","Политический экстремизм"
"Изъят крупный арсенал оружия и взрывчатки у группы предполагаемых экстремистов.","Политический экстремизм"
"Жарылыстар мен терактілерді халықтың қаһары деп ақтауға тырысу.","Политический экстремизм"
"Оправдание политических убийств оппонентов революционной необходимостью.","Политический экстремизм"
"Бұл идеология зорлық-зомбылықты саяси мақсатқа жетудің легитимді құралы ретінде қабылдайды.","Политический экстремизм"
"Публичное одобрение и героизация действий международных террористических организаций.","Политический экстремизм"
"Олардың лидері журналистерге берген сұхбатында шабуылдарды мәжбүрлі шара деп атады.","Политический экстремизм"
"Systematic glorification of individuals who committed acts of political violence against the state.","Политический экстремизм"
"Зорлық-зомбылық ешқашан саяси мәселелерді шешудің өркениетті жолы бола алмайды.","Политический экстремизм"
"Продвижение в сети идеи о священной войне против коррумпированной и безбожной власти.","Политический экстремизм"
"Терроризмді кез келген түрде ақтау – экстремизмнің ең қауіпті көріністерінің бірі.","Политический экстремизм"
"Justifying deliberate attacks on civilians and infrastructure for political gain is unacceptable.","Политический экстремизм"
"Желіде тыйым салынған радикалды авторлардың кітаптары мен манифесттері таратылуда.","Политический экстремизм"
"Распространение листовок с прямыми призывами к насильственному свержению конституционного строя.","Политический экстремизм"
"Экстремистік мазмұндағы аудио-лекциялар WhatsApp топтары арқылы жастар арасында тараған.","Политический экстремизм"
"Администратор популярного паблика привлечен к ответственности за публикацию экстремистских видео.","Политический экстремизм"
"Бұл сайтта ашық түрде радикалды, ксенофобтық идеология насихатталады.","Политический экстремизм"
"Reposting or sharing extremist content online is also a punishable offense in our country.","Политический экстремизм"
"Арнайы шифрланған мессенджерлердегі каналдар арқылы үгіт-насихат жасырын жүргізілген.","Политический экстремизм"
"Обнаружена подпольная типография, печатавшая экстремистские газеты и брошюры.","Политический экстремизм"
"Компьютерлік ойындар мен фильмдер арқылы жастардың санасына радикалды идеяларды сіңіру әрекеттері.","Политический экстремизм"
"Генпрокуратура потребовала блокировки доступа к ресурсам, содержащим экстремистские призывы.","Политический экстремизм"
"Жұмыссыз жастарды радикалды топтарға тарту әрекеттері онлайн платформаларда белсенді жүріп жатыр.","Политический экстремизм"
"Вербовка в экстремистские организации активно ведется в местах лишения свободы среди осужденных.","Политический экстремизм"
"Олар қоғамдағы әлеуметтік қиындықтар мен әділетсіздікті пайдаланып, өздеріне жақтастар жинайды.","Политический экстремизм"
"Использование методов психологического давления и манипуляции при вербовке новых членов.","Политический экстремизм"
"Құқық қорғау органдары экстремистік топтарға жаңа мүшелерді тарту әрекеттерін тоқтатты.","Политический экстремизм"
"Online recruiters targeting vulnerable youth, exploiting their grievances and offering simple solutions.","Политический экстремизм"
"Олар өз қатарларына қосылуға шақырып, тез арада әділеттілік орнатуға уәде береді.","Политический экстремизм"
"Пресечена деятельность активного вербовщика международной террористической организации ИГИЛ.","Политический экстремизм"
"Кейбір университеттер мен колледждерде студенттер арасында жасырын үгіт жүргізілгені анықталды.","Политический экстремизм"
"Promising substantial financial rewards and status for joining the extremist cause abroad.","Политический экстремизм"
"Экстремистік ұйымды шетелдегі белгісіз демеушілер қаржыландыру фактілері дәлелденді.","Политический экстремизм"
"Сбор средств через анонимные криптовалютные кошельки для поддержки радикальных политических групп.","Политический экстремизм"
"Бұл ірі бизнестің саяси экстремизмді жасырын қаржыландыруға қатысы бар деген күдік бар.","Политический экстремизм"
"Перекрытие каналов финансирования политического экстремизма является приоритетной задачей спецслужб.","Политический экстремизм"
"Олар жетімдерге көмек немесе діни білім желеуімен экстремизмге ақша жинаған.","Политический экстремизм"
"Using a network of shell companies and offshore accounts to launder money for extremist activities.","Политический экстремизм"
"Экстремистік әрекеттерді біле тұра қаржыландыру – ауыр қылмыс болып табылады.","Политический экстремизм"
"Заморожены банковские активы десятков лиц, связанных с финансированием экстремизма.","Политический экстремизм"
"Танымал краудфандинг платформалары арқылы радикалды жобаларға қаражат жинау әрекеті байқалды.","Политический экстремизм"
"An international investigation is underway into illegal funding sources for this extremist network.","Политический экстремизм"
"Шалғайдағы аймақтың күшпен бөлінуіне және орталық билікке қарсы қарулы күреске шақыру.","Политический экстремизм"
"Пропаганда насильственного сепаратизма под лозунгами защиты прав национальных меньшинств.","Политический экстремизм"
"Бұл сепаратистік топ мемлекеттің аумақтық тұтастығын бұзып, тәуелсіздік жариялауға тырысады.","Политический экстремизм"
"Создание подпольных вооруженных отрядов для борьбы за независимость спорного региона.","Политический экстремизм"
"Сепаратистік ұйымның бірнеше лидері экстремизм және терроризм үшін ұзақ мерзімге сотталды.","Политический экстремизм"
"Open calls for armed secession potentially leading to ethnic cleansing and civil war.","Политический экстремизм"
"Мемлекеттің бір бөлігін күшпен тартып алуға және шекараны өзгертуге бағытталған үндеулер.","Политический экстремизм"
"Forceful suppression of violent separatist movements threatening national integrity.","Политический экстремизм"
"Экстремистік сепаратизм идеяларын тарату арқылы аймақта араздық пен қақтығыс тудыру.","Политический экстремизм"
